iter	Passed	Remaining
402	3097	4588
403	3104	4580
404	3111	4570
405	3118	4562
406	3125	4553
407	3132	4545
408	3140	4537
409	3147	4528
410	3155	4522
411	3162	4513
412	3169	4504
413	3175	4495
414	3183	4487
415	3190	4478
416	3196	4469
417	3204	4461
418	3211	4452
419	3218	4444
420	3224	4434
421	3231	4426
422	3238	4417
423	3245	4408
424	3252	4400
425	3258	4391
426	3266	4383
427	3273	4374
428	3280	4366
429	3287	4357
430	3293	4348
431	3300	4339
432	3307	4330
433	3314	4322
434	3320	4313
435	3328	4305
436	3335	4297
437	3342	4288
438	3349	4280
439	3356	4271
440	3364	4264
441	3370	4255
442	3378	4247
443	3384	4238
444	3391	4229
445	3398	4221
446	3405	4212
447	3413	4205
448	3420	4197
449	3427	4189
450	3434	4180
451	3441	4172
452	3449	4165
453	3456	4156
454	3463	4148
455	3470	4140
456	3478	4132
457	3485	4124
458	3492	4116
459	3499	4107
460	3505	4099
461	3512	4090
462	3519	4082
463	3527	4074
464	3534	4066
465	3541	4058
466	3549	4050
467	3556	4043
468	3564	4035
469	3571	4027
470	3580	4020
471	3587	4012
472	3594	4005
473	3602	3997
474	3610	3990
475	3617	3981
476	3625	3975
477	3633	3967
478	3641	3961
479	3649	3953
480	3658	3947
481	3666	3940
482	3675	3934
483	3683	3926
484	3691	3919
485	3698	3911
486	3705	3903
487	3712	3895
488	3720	3887
489	3727	3879
490	3734	3871
491	3742	3863
492	3748	3855
493	3756	3847
494	3762	3838
495	3770	3831
496	3777	3823
497	3786	3816
498	3793	3809
499	3801	3801
500	3808	3793
501	3815	3785
502	3822	3777
503	3829	3768
504	3837	3761
505	3844	3753
506	3852	3746
507	3859	3738
508	3867	3731
509	3874	3722
510	3881	3714
511	3889	3707
512	3895	3698
513	3903	3690
514	3910	3682
515	3918	3675
516	3924	3666
517	3932	3659
518	3939	3651
519	3947	3643
520	3953	3635
521	3961	3627
522	3968	3619
523	3975	3610
524	3984	3604
525	3990	3596
526	3999	3589
527	4006	3581
528	4014	3574
529	4021	3566
530	4031	3560
531	4038	3552
532	4046	3545
533	4053	3537
534	4061	3530
535	4068	3522
536	4076	3514
537	4084	3507
538	4091	3499
539	4099	3492
540	4106	3484
541	4114	3477
542	4121	3468
543	4129	3461
544	4135	3452
545	4144	3446
546	4151	3438
547	4159	3430
548	4166	3422
549	4173	3414
550	4181	3407
551	4188	3399
552	4196	3391
553	4202	3383
554	4210	3376
555	4217	3367
556	4226	3361
557	4232	3352
558	4241	3345
559	4248	3337
560	4256	3330
561	4263	3322
562	4270	3314
563	4277	3306
564	4284	3298
565	4292	3291
566	4300	3283
567	4307	3276
568	4314	3268
569	4322	3261
570	4329	3253
571	4338	3245
572	4344	3237
573	4352	3230
574	4360	3222
575	4367	3214
576	4375	3207
577	4382	3199
578	4390	3192
579	4397	3184
580	4406	3177
581	4413	3170
582	4422	3163
583	4430	3155
584	4438	3148
585	4445	3140
586	4454	3133
587	4461	3126
588	4470	3119
589	4477	3111
590	4485	3104
591	4492	3096
592	4500	3088
593	4506	3080
594	4513	3072
595	4520	3064
596	4528	3056
597	4535	3049
598	4542	3041
599	4550	3033
600	4558	3026
601	4565	3018
602	4573	3010
603	4580	3003
604	4587	2995
605	4594	2987
606	4601	2979
607	4608	2971
608	4616	2963
609	4622	2955
610	4630	2947
611	4637	2939
612	4644	2932
613	4651	2924
614	4658	2916
615	4666	2908
616	4672	2900
617	4680	2892
618	4686	2884
619	4694	2877
620	4701	2869
621	4707	2860
622	4715	2853
623	4721	2845
624	4729	2837
625	4735	2829
626	4743	2821
627	4750	2813
628	4757	2805
629	4764	2798
630	4771	2790
631	4779	2782
632	4785	2774
633	4793	2767
634	4800	2759
635	4807	2751
636	4814	2743
637	4821	2735
638	4828	2727
639	4835	2719
640	4843	2712
641	4849	2704
642	4857	2697
643	4864	2689
644	4871	2681
645	4878	2673
646	4885	2665
647	4892	2657
648	4899	2649
649	4907	2642
650	4914	2634
651	4922	2627
652	4928	2619
653	4935	2610
654	4942	2603
655	4949	2595
656	4956	2587
657	4963	2579
658	4971	2572
659	4978	2564
660	4986	2557
661	4992	2549
662	4999	2541
663	5007	2533
664	5014	2525
665	5021	2518
666	5028	2510
667	5035	2502
668	5042	2494
669	5049	2486
670	5056	2479
671	5063	2471
672	5071	2464
673	5078	2456
674	5086	2448
675	5093	2441
676	5100	2433
677	5107	2425
678	5113	2417
679	5121	2410
680	5128	2402
681	5136	2395
682	5144	2387
683	5152	2380
684	5159	2372
685	5167	2365
686	5174	2357
687	5181	2349
688	5188	2341
689	5194	2333
690	5202	2326
691	5208	2318
692	5216	2311
693	5227	2305
694	5234	2297
695	5241	2289
696	5249	2281
697	5255	2274
698	5263	2266
699	5269	2258
700	5276	2250
701	5283	2242
702	5289	2234
703	5297	2227
704	5304	2219
705	5311	2211
706	5318	2204
707	5325	2196
708	5332	2188
709	5338	2180
710	5346	2173
711	5353	2165
712	5360	2157
713	5367	2150
714	5374	2142
715	5381	2134
716	5388	2126
717	5396	2119
718	5403	2111
719	5411	2104
720	5418	2096
721	5425	2089
722	5432	2081
723	5438	2073
724	5446	2065
725	5452	2057
726	5460	2050
727	5467	2042
728	5474	2035
729	5480	2027
730	5487	2019
731	5494	2011
732	5501	2003
733	5509	1996
734	5516	1988
735	5523	1981
736	5530	1973
737	5537	1965
738	5544	1958
739	5551	1950
740	5559	1943
741	5565	1935
742	5573	1927
743	5579	1919
744	5586	1912
745	5593	1904
746	5600	1896
747	5608	1889
748	5614	1881
749	5622	1874
750	5629	1866
751	5636	1858
752	5643	1851
753	5649	1843
754	5657	1836
755	5664	1828
756	5672	1820
757	5679	1813
758	5686	1805
759	5693	1797
760	5699	1790
761	5707	1782
762	5713	1774
763	5722	1767
764	5729	1759
765	5736	1752
766	5743	1744
767	5750	1737
768	5757	1729
769	5763	1721
770	5771	1714
771	5778	1706
772	5786	1699
773	5792	1691
774	5799	1683
775	5806	1676
776	5813	1668
777	5820	1660
778	5827	1653
779	5834	1645
780	5841	1637
781	5848	1630
782	5855	1622
783	5862	1615
784	5869	1607
785	5876	1599
786	5883	1592
787	5890	1584
788	5897	1577
789	5904	1569
790	5911	1561
791	5918	1554
792	5925	1546
793	5932	1539
794	5939	1531
795	5946	1523
796	5953	1516
797	5960	1508
798	5967	1501
799	5974	1493
800	5981	1486
801	5988	1478
802	5995	1470
803	6002	1463
804	6009	1455
805	6016	1448
806	6023	1440
807	6030	1433
808	6037	1425
809	6045	1417
810	6052	1410
811	6058	1402
812	6065	1395
813	6072	1387
814	6080	1380
815	6086	1372
816	6094	1365
817	6101	1357
818	6108	1350
819	6115	1342
820	6121	1334
821	6130	1327
822	6137	1320
823	6145	1312
824	6152	1304
825	6159	1297
826	6167	1290
827	6174	1282
828	6181	1275
829	6188	1267
830	6195	1260
831	6202	1252
832	6210	1244
833	6216	1237
834	6224	1230
835	6232	1222
836	6239	1215
837	6245	1207
838	6252	1199
839	6260	1192
840	6267	1184
841	6275	1177
842	6281	1169
843	6289	1162
844	6296	1155
845	6304	1147
846	6311	1140
847	6318	1132
848	6325	1125
849	6332	1117
850	6340	1110
851	6347	1102
852	6355	1095
853	6361	1087
854	6368	1080
855	6375	1072
856	6383	1065
857	6390	1057
858	6397	1050
859	6405	1042
860	6412	1035
861	6420	1027
862	6427	1020
863	6435	1012
864	6442	1005
865	6449	997
866	6455	990
867	6462	982
868	6469	975
869	6477	967
870	6485	960
871	6492	952
872	6499	945
873	6506	937
874	6513	930
875	6520	922
876	6527	915
877	6534	908
878	6541	900
879	6549	893
880	6556	885
881	6563	878
882	6570	870
883	6576	863
884	6585	855
885	6591	848
886	6600	840
887	6607	833
888	6615	826
889	6622	818
890	6629	811
891	6637	803
892	6643	796
893	6650	788
894	6657	781
895	6664	773
896	6671	766
897	6679	758
898	6686	751
899	6694	743
900	6702	736
901	6710	729
902	6716	721
903	6724	714
904	6731	706
905	6737	699
906	6745	691
907	6752	684
908	6760	676
909	6766	669
910	6774	661
911	6780	654
912	6787	646
913	6795	639
914	6802	631
915	6810	624
916	6817	617
917	6826	609
918	6832	602
919	6840	594
920	6846	587
921	6853	579
922	6861	572
923	6868	564
924	6875	557
925	6882	549
926	6890	542
927	6897	535
928	6906	527
929	6913	520
930	6920	512
931	6927	505
932	6934	497
933	6941	490
934	6948	483
935	6955	475
936	6962	468
937	6970	460
938	6977	453
939	6983	445
940	6990	438
941	6997	430
942	7005	423
943	7012	415
944	7021	408
945	7028	401
946	7036	393
947	7042	386
948	7049	378
949	7057	371
950	7063	363
951	7071	356
952	7077	349
953	7085	341
954	7092	334
955	7099	326
956	7105	319
957	7112	311
958	7120	304
959	7127	296
960	7135	289
961	7141	282
962	7149	274
963	7155	267
964	7162	259
965	7169	252
966	7176	244
967	7184	237
968	7190	230
969	7198	222
970	7204	215
971	7211	207
972	7218	200
973	7225	192
974	7233	185
975	7239	178
976	7247	170
977	7253	163
978	7260	155
979	7268	148
980	7274	140
981	7281	133
982	7288	126
983	7295	118
984	7302	111
985	7309	103
986	7316	96
987	7323	88
988	7330	81
989	7337	74
990	7344	66
991	7351	59
992	7358	51
993	7365	44
994	7372	37
995	7379	29
996	7386	22
997	7393	14
998	7400	7
999	7407	0
