iter	CrossEntropy
134	0.1170143826
135	0.1164903921
136	0.1160659112
137	0.1151288158
138	0.1149493776
139	0.1146336278
140	0.1141786112
141	0.1138860864
142	0.1136463503
143	0.1134631976
144	0.1128532899
145	0.1127161453
146	0.1124676901
147	0.1118650357
148	0.1116493556
149	0.1113963776
150	0.1107687014
151	0.1102508008
152	0.1101460584
153	0.1095497295
154	0.108910742
155	0.1084740613
156	0.1082743747
157	0.1078026378
158	0.1071976352
159	0.1070192238
160	0.1067683245
161	0.1065711395
162	0.1063407774
163	0.1061864304
164	0.1058466818
165	0.105627827
166	0.1048997931
167	0.1045406552
168	0.1040525488
169	0.103355302
170	0.103205079
171	0.1028853376
172	0.1027345139
173	0.1023276023
174	0.1019155839
175	0.1016030273
176	0.101294055
177	0.1011807387
178	0.1009137307
179	0.1002901065
180	0.1001355646
181	0.09969020253
182	0.09928252976
183	0.09894027268
184	0.09861575002
185	0.09851335916
186	0.09811078628
187	0.09775349883
188	0.09761257401
189	0.09740572251
190	0.09710019445
191	0.09658561261
192	0.09644292566
193	0.09626763272
194	0.09603028352
195	0.09551418119
196	0.09540680639
197	0.0952031695
198	0.09493654099
199	0.09470286759
200	0.09428127179
201	0.09416457518
202	0.09379115265
203	0.09321946042
204	0.09284284232
205	0.09275004965
206	0.09233391058
207	0.09220074752
208	0.09177351183
209	0.09154602189
210	0.09124549683
211	0.09113129823
212	0.09101808562
213	0.09086809321
214	0.09070860323
215	0.09062042609
216	0.09049271556
217	0.09047555245
218	0.09029332379
219	0.08996956239
220	0.0894367916
221	0.08869869981
222	0.08848662176
223	0.08805974706
224	0.08784732739
225	0.08745167283
226	0.08736113534
227	0.08695768511
228	0.08686287716
229	0.08662391723
230	0.08632160903
231	0.08610238673
232	0.08582874072
233	0.08561877408
234	0.08546298883
235	0.08525785279
236	0.08500120576
237	0.0846944519
238	0.08445643982
239	0.0843092815
240	0.08412901693
241	0.0839376539
242	0.08378994839
243	0.08366937492
244	0.08350306806
245	0.08339489913
246	0.08297592301
247	0.08276880402
248	0.08249098067
249	0.08223367712
250	0.08210343676
251	0.08203285635
252	0.0819290071
253	0.08167283896
254	0.08143479073
255	0.08123330829
256	0.08117794534
257	0.08102794494
258	0.08082783232
259	0.08046666673
260	0.08026365149
261	0.07974039439
262	0.07963563878
263	0.07947944037
264	0.07928086978
265	0.0790855268
266	0.07886596031
267	0.07874210283
268	0.07849124064
269	0.07840598923
270	0.07812423575
271	0.07795727633
272	0.07773438723
273	0.07726702712
274	0.07710795789
275	0.07692515975
276	0.07678842219
277	0.0765747221
278	0.07639838007
279	0.0763419157
280	0.07620741265
281	0.07607512036
282	0.07601588497
283	0.0756414967
284	0.07537494601
285	0.07522313849
286	0.07492047119
287	0.07477395804
288	0.074653264
289	0.07456775254
290	0.07411476944
291	0.07400516848
292	0.07393981827
293	0.07370974834
294	0.0734579915
295	0.07340945168
296	0.07310037701
297	0.07284226724
298	0.072756411
299	0.072521433
300	0.07242216385
301	0.07220531801
302	0.07184858884
303	0.07177739762
304	0.07172341355
305	0.07169961279
306	0.07147288165
307	0.07140703417
308	0.070861408
309	0.07074591619
310	0.07069171888
311	0.07060712899
312	0.07052508142
313	0.07044178454
314	0.07008432086
315	0.07001003142
316	0.06995826005
317	0.0697961078
318	0.06946138707
319	0.06931422964
320	0.06927328562
321	0.06905515022
322	0.06902350197
323	0.06896783698
324	0.06887431398
325	0.06856380916
326	0.06850564063
327	0.06834012413
328	0.06822815316
329	0.06818719803
330	0.06801447167
331	0.06772625682
332	0.06767329118
333	0.06760327611
334	0.06750227225
335	0.06730336771
336	0.06698122824
337	0.06690554132
338	0.06682840438
339	0.0667474914
340	0.06663278302
341	0.06641665457
342	0.06638999795
343	0.06622859893
344	0.06619844451
345	0.06616546413
346	0.06605873968
347	0.06587917653
348	0.06583654558
349	0.06577964504
350	0.06566307467
351	0.06558125992
352	0.06551937401
353	0.0654912755
354	0.06539068329
355	0.06531713616
356	0.06527398956
357	0.06524108847
358	0.0651554407
359	0.06509628582
360	0.06490733142
361	0.0648853816
362	0.06469454468
363	0.06468439714
364	0.06444371398
365	0.06441048062
366	0.06427230328
367	0.06425901679
368	0.06422584679
369	0.06397496722
370	0.06393039406
371	0.06390959104
372	0.06386487402
373	0.0636580438
374	0.06363262502
375	0.06360591835
376	0.06344400948
377	0.06342187021
378	0.0632319928
379	0.06321889226
380	0.06305554786
381	0.0630078296
382	0.06296736353
383	0.06284756396
384	0.06274426145
385	0.06272133984
386	0.06261407739
387	0.06246332986
388	0.06238467766
389	0.0623424109
390	0.06212423426
391	0.06208071225
392	0.06207388386
393	0.06193605835
394	0.06189906361
395	0.06183471024
396	0.0617783381
397	0.06170236646
398	0.06155825773
399	0.06141223207
400	0.06131858451
401	0.06104735549
402	0.0609951088
403	0.06075894002
404	0.06071872013
405	0.06069180509
406	0.0606240688
407	0.06040981656
408	0.06040309186
409	0.06026667682
410	0.06024833765
411	0.06005828837
412	0.05999459656
413	0.05995442234
414	0.05972378939
415	0.05967312077
416	0.05964200048
417	0.05959762628
418	0.05939846541
419	0.05929441116
420	0.05919859197
421	0.05916026035
422	0.05910760557
423	0.05900502337
424	0.05896781652
425	0.05884556919
426	0.05861283365
427	0.05859497603
428	0.05820262723
429	0.05817976901
430	0.05805515917
431	0.05804368404
432	0.05802914967
433	0.05800581172
434	0.05797226026
435	0.05788708348
436	0.05787066353
437	0.05779978157
438	0.05769649309
439	0.05750775988
440	0.05750482344
441	0.05748502065
442	0.05747384405
443	0.05744851168
444	0.05744482763
445	0.05732281001
446	0.05725095984
447	0.05724207911
448	0.05722171552
449	0.05719554757
450	0.05717791384
451	0.05709715739
452	0.05707152813
453	0.05706664992
454	0.05688738477
455	0.05677286392
456	0.05671964603
457	0.05668503839
458	0.05667613289
459	0.05666829616
460	0.05665620199
461	0.05636739704
462	0.05635358463
463	0.05626719676
464	0.05608418008
465	0.05593461738
466	0.05578248388
467	0.05578086633
468	0.05564660024
469	0.05562223648
470	0.05533124235
471	0.05531651896
472	0.05512445507
473	0.05512148571
474	0.05509770822
475	0.05508006508
476	0.05506930795
477	0.05481131202
478	0.05480327133
479	0.05472533183
480	0.05468873174
481	0.0546687283
482	0.05465490523
483	0.05459675003
484	0.05452305419
485	0.0544882829
486	0.05447441279
487	0.05444911057
488	0.05440644758
489	0.05440501614
490	0.05437122764
491	0.05436399916
492	0.05435614019
493	0.05425241236
494	0.05424513513
495	0.05416052296
496	0.05415313712
497	0.05400427959
498	0.05399998656
499	0.05398935124
500	0.05398818995
501	0.05396606123
502	0.0539632816
503	0.05391294337
504	0.05375844033
505	0.05374341898
506	0.05370707286
507	0.05370533248
508	0.05353572354
509	0.05352529505
510	0.05351322778
511	0.05343031347
512	0.05319248864
513	0.05318971729
514	0.05306766465
515	0.05303981289
516	0.05293399278
517	0.05293183088
518	0.05271734888
519	0.05271517872
520	0.05256195951
521	0.0525564956
522	0.05246656269
523	0.05244390301
524	0.05235964917
525	0.05234721355
526	0.05226449979
527	0.05223463773
528	0.05216744469
529	0.05215848264
530	0.05214484073
531	0.05214342639
532	0.0521412754
533	0.05212503549
534	0.05210098727
535	0.05191941894
536	0.05184661377
537	0.05183793427
538	0.05176329834
539	0.05172626342
540	0.05171651236
541	0.0516276731
542	0.05162451992
543	0.05150945865
544	0.05148734101
545	0.05146615791
546	0.05145604137
547	0.05135441057
548	0.05123128539
549	0.05122170189
550	0.05118057625
551	0.0509033677
552	0.05088977301
553	0.05077028847
554	0.05076373544
555	0.05050214739
556	0.05049122866
557	0.05048494027
558	0.05047810012
559	0.05042748063
560	0.05042639743
561	0.05022114858
562	0.05020610931
563	0.05018956781
564	0.05004484205
565	0.04994678403
566	0.04994198646
567	0.04979938562
568	0.04973997416
569	0.04973285613
570	0.04961726678
571	0.04957084907
572	0.04955507673
573	0.04952676466
574	0.04952441643
575	0.04936507558
576	0.049273843
577	0.04927227599
578	0.04915672757
579	0.04914289981
580	0.04909466385
581	0.04887735742
582	0.04887131704
583	0.04886140819
584	0.04885870398
585	0.04885579028
586	0.04885222905
587	0.04875383113
588	0.04871114239
589	0.04858676901
590	0.04857478185
591	0.04849354843
592	0.04848574416
593	0.04820838694
594	0.04818953517
595	0.0481842239
596	0.04808032968
597	0.04805008241
598	0.04804590999
599	0.04796790435
600	0.04796362928
601	0.04795791968
602	0.04791027721
603	0.04771696994
604	0.04770866121
605	0.04770757552
606	0.0476303115
607	0.04762945103
608	0.04756027904
609	0.04753460591
610	0.04753080876
611	0.04751578041
612	0.04745216476
613	0.04734478004
614	0.04730580388
615	0.04726166098
616	0.04726030284
617	0.04725280599
618	0.04713809866
619	0.04713769761
620	0.04691032177
621	0.0466869117
622	0.04659905732
623	0.04659702285
624	0.04659251143
625	0.0465697119
626	0.04655167714
627	0.04654983807
628	0.04654636376
629	0.04649151541
630	0.04648944399
631	0.0464066936
632	0.04640561225
633	0.04640190446
634	0.04620171388
635	0.04604451046
636	0.04603939249
637	0.0460386672
638	0.04600871844
639	0.04600778363
640	0.04596344637
641	0.04592957182
642	0.04588504324
643	0.04585683451
644	0.04585472465
645	0.04582116787
646	0.04580908971
647	0.04580690513
648	0.04580171817
649	0.04573048378
650	0.04572796124
651	0.04554427866
652	0.04553052595
653	0.04552482524
654	0.04547530177
655	0.04541793467
656	0.04541617561
657	0.04540912059
658	0.0454049229
659	0.0454046841
660	0.04540254136
661	0.04534318364
662	0.04534262906
663	0.04525993595
664	0.0452218848
665	0.04521990059
666	0.04520628953
667	0.04520464621
668	0.04510496784
669	0.04510487724
670	0.04510160684
671	0.04502461095
672	0.04501613742
673	0.04501221307
674	0.04495931886
675	0.04495865475
676	0.04495570145
677	0.04495496829
678	0.04495404672
679	0.04495159687
680	0.04490335601
681	0.04489803598
682	0.04489486482
683	0.04489486476
684	0.04489454108
685	0.04489181393
686	0.04488547631
687	0.04483445356
688	0.04483243884
689	0.04483000888
690	0.04467972594
691	0.04464990971
692	0.04464767651
693	0.04464469473
694	0.0445312445
695	0.04453075999
696	0.04452810425
697	0.0444891048
698	0.04448872272
699	0.04448422301
700	0.04446965799
701	0.04446934396
702	0.04445676109
703	0.04444612008
704	0.04444503036
705	0.0444445954
706	0.04439174618
707	0.04439148709
708	0.04439120143
709	0.04432883069
710	0.04432063339
711	0.04432021362
712	0.04424986873
713	0.04424641916
714	0.04412227401
715	0.04412098322
716	0.04410965577
717	0.04403470874
718	0.04403157294
719	0.04401511881
720	0.04401295762
721	0.04378942234
722	0.04378684908
723	0.04378611149
724	0.04378291985
725	0.04378098467
726	0.04359874919
727	0.04358766735
728	0.04355118178
729	0.04355098545
730	0.04334499056
731	0.04334461479
732	0.04316870763
733	0.0431680191
734	0.04311129872
735	0.04310976095
736	0.04307473686
737	0.04302851889
738	0.04302738411
739	0.04300370915
740	0.04300270026
741	0.04300117266
742	0.04300073559
743	0.0429950143
744	0.04296188088
745	0.04285178168
746	0.04271539196
747	0.04271418796
748	0.04271146899
749	0.04256374763
750	0.04255460127
751	0.04255288763
752	0.04251087417
753	0.04251023359
754	0.04249475678
755	0.04249329436
756	0.04231479672
757	0.04221234383
758	0.04221168349
759	0.04217591492
760	0.04217436425
761	0.04217048633
762	0.0421654786
763	0.04216491793
764	0.04216147028
765	0.04213585518
766	0.04198647701
767	0.04195980863
768	0.04194039434
769	0.04191990944
770	0.04190866799
771	0.04190498384
772	0.04181493055
773	0.0418016334
774	0.04177737996
775	0.04171998213
776	0.04166849463
777	0.0416410946
778	0.04162905284
779	0.04162877444
780	0.04159915046
781	0.04159876732
782	0.04150817625
783	0.0415073002
784	0.04147872655
785	0.0414723909
786	0.04144505078
787	0.04141766233
788	0.04141220127
789	0.04141136036
790	0.04135440323
791	0.04135414691
792	0.04133746441
793	0.04126619337
794	0.04125149458
795	0.04125117273
796	0.04124453503
797	0.04123911466
798	0.04120558537
799	0.04120517144
800	0.04119618406
801	0.04119567472
802	0.041186534
803	0.04118619655
804	0.04118551548
805	0.04117329213
806	0.04117325827
807	0.04117268846
808	0.04116678504
809	0.04116276635
810	0.04116106259
811	0.04115833725
812	0.0411433458
813	0.04109785797
814	0.04096157108
815	0.04095739002
816	0.04076580866
817	0.04067352044
818	0.04067311309
819	0.04059104086
820	0.04059071268
821	0.04042784535
822	0.04042696229
823	0.04026666795
824	0.04026393196
825	0.04021592782
826	0.04021535049
827	0.04010229225
828	0.04010142981
829	0.03991162163
830	0.03990667506
831	0.03990421308
832	0.03989466751
833	0.03981048052
834	0.03981005693
835	0.03980978627
836	0.03973483109
837	0.03973394246
838	0.03973188029
839	0.03972952396
840	0.03972279994
841	0.03971637509
842	0.03970989885
843	0.03964721485
844	0.03962006505
845	0.03961551045
846	0.03961497378
847	0.03944692127
848	0.03944677756
849	0.03943497853
